source,relation,target,target_label
Q131157,child,Q192673,Iphigenia
Q131157,child,Q131651,Elektra
Q131157,sibling,Q12046224,Pollux
Q131157,sibling,Q11294144,Castor
Q131157,sibling,Q164061,Helen of Troy
Q131157,spouse,Q128176,Agamemnon
Q3682459,killed_by,Q159666,Hector
Q2753233,father,Q34201,Zeus
Q725286,child,Q83223,Asclepius
Q725286,unmarried partner,Q2479189,Ischys
Q725286,unmarried partner,Q37340,Apollo
Q725286,killed_by,Q37340,Apollo
Q725286,killed_by,Q39503,Artemis
Q732066,child,Q744871,Menoeceus
Q375174,father,Q170473,Priam
Q375174,mother,Q193433,Hecuba
Q375174,child,Q655566,Ascanius
Q375174,spouse,Q82732,Aeneas
Q1043413,father,Q192485,Pelops
Q190582,child,Q130832,Perseus
Q190582,unmarried partner,Q34201,Zeus
Q134756,child,Q34041,Icarus
Q272000,child,Q847268,Hyllus
Q272000,spouse,Q122248,Heracles
Q1183358,father,Q176758,Jason
Q207715,father,Q83160,Prometheus
Q207715,child,Q3854114,Melantho daughter of Deucalion
Q207715,sibling,Q212818,Phaedra
Q207715,spouse,Q622809,Pyrrha
Q905162,unmarried partner,Q82732,Aeneas
Q850192,father,Q391379,Achelous
Q850192,father,Q134270,Helios
Q850192,killed_by,Q242835,Amphion
Q3715347,father,Q270117,Lycurgus of Thrace
Q193433,child,Q375174,Creusa
Q193433,child,Q346634,Polydorus
Q193433,child,Q159666,Hector
Q193433,child,Q167646,Paris
Q193433,child,Q750236,Polyxena
Q193433,spouse,Q170473,Priam
Q193433,unmarried partner,Q37340,Apollo
Q130890,child,Q506550,Eteocles
Q130890,child,Q334817,Polynices
Q130890,child,Q131351,Antigone
Q241971,father,Q134270,Helios
Q241971,child,Q174278,Medea
Q241971,child,Q333658,Absyrtus
Q241971,child,Q187602,Circe
Q241971,sibling,Q187602,Circe
Q241971,unmarried partner,Q131575,Hecate
Q241971,killed_by,Q321541,Meleager
Q191725,child,Q1320718,Theseus
Q191725,spouse,Q174278,Medea
Q164061,father,Q34201,Zeus
Q164061,mother,Q182019,Leda
Q164061,child,Q192673,Iphigenia
Q164061,sibling,Q11294144,Castor
Q164061,sibling,Q12046224,Pollux
Q164061,sibling,Q131157,Clytemnestra
Q164061,spouse,Q1320718,Theseus
Q164061,spouse,Q171839,Menelaus
Q164061,spouse,Q167646,Paris
Q164061,spouse,Q41746,Achilles
Q164061,unmarried partner,Q167646,Paris
Q164061,unmarried partner,Q41746,Achilles
Q164061,unmarried partner,Q1136130,Idas
Q164061,unmarried partner,Q1124866,Lynceus
Q131651,father,Q128176,Agamemnon
Q131651,mother,Q131157,Clytemnestra
Q131651,sibling,Q192407,Orestes
Q131651,sibling,Q192673,Iphigenia
Q131651,spouse,Q494886,Pylades
Q272047,father,Q34201,Zeus
Q272047,spouse,Q131585,Selene
Q272047,unmarried partner,Q131585,Selene
Q82732,father,Q211953,Anchises
Q82732,mother,Q35500,Aphrodite
Q82732,child,Q655566,Ascanius
Q82732,spouse,Q375174,Creusa
Q82732,unmarried partner,Q905162,Dido
Q847890,father,Q40901,Ares
Q104413,father,Q34201,Zeus
Q104413,mother,Q102884,Mnemosyne
Q104413,sibling,Q103968,Clio
Q104413,sibling,Q103975,Calliope
Q104413,sibling,Q103992,Melpomene
Q104413,sibling,Q104002,Urania
Q104413,sibling,Q104012,Euterpe
Q104413,sibling,Q104042,Terpsichore
Q104413,sibling,Q104425,Polyhymnia
Q644921,father,Q44384,Hephaestus
Q19776360,unmarried partner,Q10316761,Leander
Q16641710,father,Q500739,Cecrops I
Q16641710,sibling,Q584492,"Aglaurus, daughter of Cecrops"
Q16641710,unmarried partner,Q41484,Hermes
Q410082,child,Q176758,Jason
Q506550,father,Q130890,Oedipus
Q506550,sibling,Q131351,Antigone
Q506550,sibling,Q334817,Polynices
Q159666,father,Q170473,Priam
Q159666,mother,Q193433,Hecuba
Q159666,child,Q334787,Astyanax
Q159666,sibling,Q167646,Paris
Q159666,sibling,Q750236,Polyxena
Q159666,spouse,Q19376,Andromache
Q159666,killed_by,Q41746,Achilles
Q16647668,unmarried partner,Q7134950,Nisus
Q16647668,killed_by,Q4016094,Volcens
Q956831,child,Q189872,Bellerophon
Q956831,unmarried partner,Q41127,Poseidon
Q61014736,father,Q37340,Apollo
Q165170,child,Q23168,Minos
Q165170,sibling,Q27613,Cadmus
Q165170,unmarried partner,Q34201,Zeus
Q104012,father,Q34201,Zeus
Q104012,mother,Q102884,Mnemosyne
Q104012,child,Q1061782,Rhesus of Thrace
Q104012,sibling,Q103968,Clio
Q104012,sibling,Q103975,Calliope
Q104012,sibling,Q103992,Melpomene
Q104012,sibling,Q104002,Urania
Q104012,sibling,Q104042,Terpsichore
Q104012,sibling,Q104413,Erato
Q104012,sibling,Q104425,Polyhymnia
Q837699,father,Q1150,Mercury
Q837699,child,Q2048018,Pallas
Q212818,father,Q23168,Minos
Q212818,sibling,Q184874,Ariadne
Q212818,spouse,Q1320718,Theseus
Q203480,father,Q134270,Helios
Q203480,unmarried partner,Q35500,Aphrodite
Q203480,killed_by,Q34201,Zeus
Q23034982,spouse,Q23034980,Baucis
Q115449,sibling,Q1231743,Procne
Q641065,father,Q41127,Poseidon
Q743482,mother,Q624551,Nephele
Q743482,sibling,Q638578,Helle
Q241070,father,Q189527,Nereus
Q241070,mother,Q726279,Doris
Q241070,unmarried partner,Q193567,Polyphemus
Q241070,unmarried partner,Q419156,Acis
Q176758,father,Q410082,Aeson
Q176758,child,Q1183358,Deipylus
Q176758,spouse,Q174278,Medea
Q1413020,child,Q308398,Midas
Q34041,father,Q134756,Daedalus
Q1136130,father,Q41127,Poseidon
Q1136130,sibling,Q1124866,Lynceus
Q1136130,unmarried partner,Q164061,Helen of Troy
Q192673,father,Q128176,Agamemnon
Q192673,father,Q1320718,Theseus
Q192673,mother,Q131157,Clytemnestra
Q192673,mother,Q164061,Helen of Troy
Q192673,sibling,Q131651,Elektra
Q192673,sibling,Q192407,Orestes
Q192673,killed_by,Q128176,Agamemnon
Q847268,father,Q122248,Heracles
Q847268,mother,Q272000,Deianira
Q847268,spouse,Q744147,Iole
Q223690,father,Q27613,Cadmus
Q223690,mother,Q978079,Harmonia
Q223690,sibling,Q776139,Semele
Q744147,spouse,Q847268,Hyllus
Q338201,father,Q1320718,Theseus
Q1455747,spouse,Q190323,Atalanta
Q2479189,unmarried partner,Q725286,Coronis
Q271891,father,Q40901,Ares
Q271891,child,Q2606272,Centaurus
Q1675360,father,Q1138506,Tereus
Q1675360,mother,Q1231743,Procne
Q274600,father,Q180237,Typhon
Q274600,killed_by,Q122248,Heracles
Q200073,father,Q41127,Poseidon
Q200073,unmarried partner,Q34201,Zeus
Q10316761,unmarried partner,Q19776360,Hero
Q182019,child,Q131157,Clytemnestra
Q182019,child,Q164061,Helen of Troy
Q182019,child,Q12046224,Pollux
Q182019,child,Q11294144,Castor
Q182019,unmarried partner,Q34201,Zeus
Q4259170,father,Q41127,Poseidon
Q339980,unmarried partner,Q134270,Helios
Q501667,child,Q203673,Callisto
Q1330532,father,Q37340,Apollo
Q270117,father,Q40901,Ares
Q270117,child,Q3715347,Dryas
Q1124866,sibling,Q1136130,Idas
Q1124866,unmarried partner,Q164061,Helen of Troy
Q9026462,father,Q172549,Aeolus
Q174278,father,Q241971,Aeëtes
Q174278,mother,Q131575,Hecate
Q174278,sibling,Q333658,Absyrtus
Q174278,spouse,Q176758,Jason
Q174278,spouse,Q191725,Aegeus
Q160730,child,Q162797,Pegasus
Q160730,unmarried partner,Q41127,Poseidon
Q160730,killed_by,Q130832,Perseus
Q371545,father,Q79999,Uranus
Q3854114,father,Q207715,Deucalion
Q3854114,mother,Q622809,Pyrrha
Q3854114,unmarried partner,Q41127,Poseidon
Q321541,father,Q40901,Ares
Q321541,unmarried partner,Q190323,Atalanta
Q103992,father,Q34201,Zeus
Q103992,mother,Q102884,Mnemosyne
Q103992,child,Q179844,Parthenope
Q103992,sibling,Q103968,Clio
Q103992,sibling,Q103975,Calliope
Q103992,sibling,Q104002,Urania
Q103992,sibling,Q104012,Euterpe
Q103992,sibling,Q104042,Terpsichore
Q103992,sibling,Q104413,Erato
Q103992,sibling,Q104425,Polyhymnia
Q103992,spouse,Q391379,Achelous
Q506781,father,Q737306,Tithonus
Q506781,killed_by,Q41746,Achilles
Q744871,father,Q732066,Creon
Q171839,sibling,Q128176,Agamemnon
Q171839,spouse,Q164061,Helen of Troy
Q308398,father,Q1413020,Gordias
Q308398,mother,Q188236,Cybele
Q23168,father,Q34201,Zeus
Q23168,mother,Q165170,Europa
Q23168,child,Q184874,Ariadne
Q23168,child,Q212818,Phaedra
Q129866,killed_by,Q1320718,Theseus
Q771366,child,Q163920,Adonis
Q771366,sibling,Q163920,Adonis
Q1149595,father,Q40901,Ares
Q322639,father,Q41746,Achilles
Q322639,spouse,Q19376,Andromache
Q322639,killed_by,Q192407,Orestes
Q466866,father,Q271891,Ixion
Q466866,mother,Q624551,Nephele
Q213621,father,Q182101,Tantalus
Q213621,mother,Q199923,Dione
Q213621,sibling,Q192485,Pelops
Q213621,spouse,Q242835,Amphion
Q7134950,unmarried partner,Q16647668,Euryalus
Q486698,child,Q1400413,Tyrrhenus
Q486698,spouse,Q122248,Heracles
Q192407,father,Q128176,Agamemnon
Q192407,mother,Q131157,Clytemnestra
Q192407,sibling,Q131651,Elektra
Q192407,sibling,Q192673,Iphigenia
Q174353,mother,Q103975,Calliope
Q174353,spouse,Q208588,Eurydice
Q2048018,father,Q837699,Evander of Pallene
Q131346,child,Q622809,Pyrrha
Q131346,spouse,Q41054,Epimetheus
Q167646,father,Q170473,Priam
Q167646,mother,Q193433,Hecuba
Q167646,sibling,Q750236,Polyxena
Q167646,sibling,Q159666,Hector
Q167646,spouse,Q164061,Helen of Troy
Q167646,unmarried partner,Q164061,Helen of Troy
Q167646,killed_by,Q212827,Philoctetes
Q186271,unmarried partner,Q41746,Achilles
Q186271,killed_by,Q159666,Hector
Q178641,child,Q41746,Achilles
Q178641,sibling,Q331327,Telamon
Q178641,spouse,Q184437,Thetis
Q182439,father,Q41127,Poseidon
Q182439,child,Q320449,Alcestis
Q192485,father,Q182101,Tantalus
Q192485,child,Q1043413,Chrysippus
Q192485,sibling,Q213621,Niobe
Q165769,child,Q192482,Telemachus
Q165769,spouse,Q47231,Odysseus
Q379828,father,Q40901,Ares
Q379828,unmarried partner,Q41746,Achilles
Q494886,spouse,Q131651,Elektra
Q13409873,unmarried partner,Q10696861,Thisbe
Q622809,father,Q41054,Epimetheus
Q622809,mother,Q131346,Pandora
Q622809,child,Q3854114,Melantho daughter of Deucalion
Q622809,spouse,Q207715,Deucalion
Q622809,unmarried partner,Q34201,Zeus
Q346634,father,Q170473,Priam
Q346634,mother,Q193433,Hecuba
Q346634,sibling,Q750236,Polyxena
Q193567,father,Q41127,Poseidon
Q193567,unmarried partner,Q241070,Galatea
Q104425,father,Q34201,Zeus
Q104425,mother,Q102884,Mnemosyne
Q104425,sibling,Q103968,Clio
Q104425,sibling,Q103975,Calliope
Q104425,sibling,Q103992,Melpomene
Q104425,sibling,Q104002,Urania
Q104425,sibling,Q104012,Euterpe
Q104425,sibling,Q104042,Terpsichore
Q104425,sibling,Q104413,Erato
Q334817,father,Q130890,Oedipus
Q334817,sibling,Q131351,Antigone
Q334817,sibling,Q506550,Eteocles
Q750236,father,Q170473,Priam
Q750236,mother,Q193433,Hecuba
Q750236,sibling,Q167646,Paris
Q750236,sibling,Q159666,Hector
Q750236,sibling,Q346634,Polydorus
Q12046224,father,Q34201,Zeus
Q12046224,mother,Q182019,Leda
Q12046224,sibling,Q11294144,Castor
Q12046224,sibling,Q164061,Helen of Troy
Q12046224,sibling,Q131157,Clytemnestra
Q170473,child,Q159666,Hector
Q170473,child,Q346634,Polydorus
Q170473,child,Q167646,Paris
Q170473,child,Q750236,Polyxena
Q170473,child,Q375174,Creusa
Q170473,sibling,Q737306,Tithonus
Q170473,spouse,Q193433,Hecuba
Q170473,killed_by,Q322639,Neoptolemus
Q206878,father,Q41680,Dionysus
Q206878,father,Q41484,Hermes
Q206878,mother,Q35500,Aphrodite
Q1231743,child,Q1675360,Itys
Q1231743,sibling,Q115449,Philomela
Q1231743,spouse,Q1138506,Tereus
Q1139470,spouse,Q643504,Cephalus
Q871361,killed_by,Q555521,Achates
Q776139,father,Q27613,Cadmus
Q776139,mother,Q978079,Harmonia
Q776139,child,Q41680,Dionysus
Q776139,sibling,Q223690,Ino
Q776139,unmarried partner,Q34201,Zeus
Q464091,father,Q41484,Hermes
Q464091,father,Q132582,Pan
Q182101,father,Q34201,Zeus
Q182101,child,Q213621,Niobe
Q182101,child,Q192485,Pelops
Q182101,spouse,Q199923,Dione
Q331327,child,Q172725,Ajax the Great
Q331327,sibling,Q178641,Peleus
Q916442,father,Q122248,Heracles
Q916442,child,Q1056143,Cyparissus
Q916442,child,Q1400413,Tyrrhenus
Q192482,father,Q47231,Odysseus
Q192482,mother,Q165769,Penelope
Q192482,spouse,Q187602,Circe
Q1138506,father,Q40901,Ares
Q1138506,child,Q1675360,Itys
Q1138506,spouse,Q1231743,Procne
Q104042,father,Q34201,Zeus
Q104042,mother,Q102884,Mnemosyne
Q104042,child,Q179844,Parthenope
Q104042,child,Q506770,Hymen
Q104042,sibling,Q103968,Clio
Q104042,sibling,Q103975,Calliope
Q104042,sibling,Q103992,Melpomene
Q104042,sibling,Q104002,Urania
Q104042,sibling,Q104012,Euterpe
Q104042,sibling,Q104413,Erato
Q104042,sibling,Q104425,Polyhymnia
Q104042,spouse,Q391379,Achelous
Q104042,unmarried partner,Q40901,Ares
Q104042,unmarried partner,Q37340,Apollo
Q104042,unmarried partner,Q391379,Achelous
Q1320718,father,Q191725,Aegeus
Q1320718,father,Q41127,Poseidon
Q1320718,child,Q338201,Hippolytus
Q1320718,child,Q192673,Iphigenia
Q1320718,spouse,Q212818,Phaedra
Q1320718,spouse,Q184874,Ariadne
Q1320718,spouse,Q164061,Helen of Troy
Q1320718,killed_by,Q1330532,Lycomedes
Q184437,father,Q189527,Nereus
Q184437,mother,Q726279,Doris
Q184437,child,Q41746,Achilles
Q184437,spouse,Q178641,Peleus
Q184437,spouse,Q3954,Neptune
Q1400413,father,Q916442,Telephus
Q3991817,father,Q79999,Uranus
Q737306,child,Q506781,Memnon
Q737306,sibling,Q170473,Priam
Q656887,father,Q34201,Zeus
Q269243,father,Q161419,Oceanus
Q47231,child,Q192482,Telemachus
Q47231,spouse,Q165769,Penelope
Q47231,unmarried partner,Q48961,Calypso
Q47231,unmarried partner,Q187602,Circe
Q104002,father,Q34201,Zeus
Q104002,mother,Q102884,Mnemosyne
Q104002,child,Q506770,Hymen
Q104002,sibling,Q103968,Clio
Q104002,sibling,Q103975,Calliope
Q104002,sibling,Q103992,Melpomene
Q104002,sibling,Q104012,Euterpe
Q104002,sibling,Q104042,Terpsichore
Q104002,sibling,Q104413,Erato
Q104002,sibling,Q104425,Polyhymnia
Q104002,spouse,Q37340,Apollo
Q4024302,father,Q109220,Boreas
Q4024302,mother,Q1129489,Orithyia
Q4024302,sibling,Q893473,Calais
Q182790,father,Q180237,Typhon
Q182790,sibling,Q170379,Hydra
Q182790,sibling,Q83496,Cerberus
Q182790,killed_by,Q189872,Bellerophon
Q12737222,mother,Q200073,Lamia
Q12958119,mother,Q183281,Phoebe
Q12958119,child,Q132543,Diana
Q12958119,child,Q37340,Apollo
Q12958119,unmarried partner,Q4649,Jupiter
Q3929892,killed_by,Q7134950,Nisus
Q1242632,father,Q112,Mars
Q4016094,killed_by,Q7134950,Nisus
Q184353,father,Q34201,Zeus
Q184353,father,Q41680,Dionysus
Q184353,father,Q134270,Helios
Q184353,mother,Q548099,Eurynome
Q184353,mother,Q35500,Aphrodite
Q1821610,mother,Q978079,Harmonia
Q179844,father,Q391379,Achelous
Q179844,mother,Q104042,Terpsichore
Q179844,mother,Q103992,Melpomene
Q842435,father,Q41127,Poseidon
Q842435,father,Q467515,Zephyrus
Q842435,mother,Q40730,Demeter
Q162797,father,Q41127,Poseidon
Q162797,mother,Q160730,Medusa
Q21560612,father,Q467515,Zephyrus
Q21560612,father,Q34201,Zeus
Q150986,father,Q391379,Achelous
Q128430,father,Q79999,Uranus
Q170379,father,Q180237,Typhon
Q170379,sibling,Q83496,Cerberus
Q170379,sibling,Q182790,chimera
Q66016,father,Q34201,Zeus
Q66016,mother,Q102884,Mnemosyne
