qid,P31,P21,P2925,P460,P1889
Q2527609,Q11688446,Q6581072,Q38933,,Q33533292
Q209644,Q11688446,Q6581072,,Q1075258,
Q4654,Q11688446,Q6581072,,Q213440,Q219201
Q4649,Q11688446,Q6581097,,Q34201,Q16280772
Q125046,Q11688446,Q6581072,Q8445,Q38012,
Q1102307,Q11688446,Q6581072,Q5167661,Q159168,Q75133781
Q1367680,Q11688446,Q6581072,,Q131125,Q1422
Q112,Q11688446,Q6581097,Q198,Q40901,Q426315
Q1479084,Q11688446,Q6581072,,Q178831,
Q1150,Q11688446,Q6581097,Q2727213,Q41484,Q11777485
Q126916,Q11688446,Q6581072,Q1294787,Q37122,
Q3954,Q11688446,Q6581097,,Q41127,Q1261928
Q859392,Q11688446,Q6581072,Q2488752,Q108419,Q221197
Q152262,Q11688446,Q6581097,,Q41410,Q2099776
Q171239,Q38618822,Q6581072,,,
Q14515330,Q11688446,Q6581072,,Q45967,Q33056084
Q953033,Q11688446,Q6581072,Q18287233,,
Q1753275,Q11688446,Q6581097,,Q5283763,
Q134388,Q11688446,Q6581097,,Q272918,Q3950829
Q2062262,Q273320,Q6581072,,,
Q548445,Q11688446,Q6581097,,,Q187489
Q580723,Q11688446,Q6581097,,,
Q47652,Q11688446,Q6581072,Q316,Q35500,
Q3545810,Q11688446,Q6581072,,Q1317994,Q12644570
Q374311,Q11688446,Q6581097,,,
Q178710,Q11688446,Q6581072,Q182995,Q41419,Q3030
Q308902,Q11688446,Q6581072,Q50000,Q165023,Q537094
Q4640,Q11688446,Q6581097,,Q44384,Q1088708
Q555521,Q22988604,Q6581097,,,Q123314
Q41746,Q22988604,Q6581097,,Q114839495,Q229835
Q419156,Q22988604,Q6581097,Q1382342,,
Q128176,Q22988604,Q6581097,,,Q231724
Q584492,Q22988604,Q6581072,,,Q243653
Q172725,Q22988604,Q6581097,,,Q242319
Q320449,Q22988604,Q6581072,,,
Q912904,Q22988604,Q6581072,,,Q12784350
Q1643451,Q22988604,Q6581072,,,
Q482096,Q22988604,Q6581072,,,
Q3614346,Q22988604,Q6581097,,,
Q474474,Q163709,Q6581097,,,
Q488558,Q22988604,Q6581097,,,
Q488621,Q22988604,Q6581072,,,
Q211953,Q22988604,Q6581097,,,
Q19376,Q22988604,Q6581072,,,
Q161582,Q22988604,Q6581072,,,Q102897
Q242835,Q22988604,Q6581097,,,
Q131351,Q22988604,Q6581072,,,Q20978302
Q4067040,Q22988604,Q6581072,,,Q12748406
Q579000,Q22988604,Q6581097,,,Q171876
Q461439,Q22988604,Q6581072,,,Q255393
Q333658,Q22988604,Q6581097,,Q128903579,
Q190082,Q22988604,Q6581072,,,
Q2866192,Q22988604,Q6581072,,Q643456,
Q189821,Q22988604,Q6581097,,,
Q184874,Q22988604,Q6581072,,,Q654349
Q311536,Q22988604,Q6581097,,,
Q181360,Q22988604,Q6581072,,,Q30301514
Q2655419,Q22988604,Q6581097,,Q136512504,
Q655566,Q22988604,Q6581097,,Q16523986,Q25939254
Q334787,Q22988604,Q6581097,,,
Q190323,Q22988604,Q6581072,,Q13375989,Q23556
Q208531,Q22988604,Q6581097,,,
Q791446,Q22988604,Q6581097,,,
Q23034980,Q22988604,Q6581072,,,
Q189872,Q22988604,Q6581097,,,Q242309
Q855426,Q22988604,Q6581072,,,
Q29789169,Q22988604,Q6581097,,,
Q244318,Q22988604,Q6581072,,,
Q754686,Q22988604,Q6581097,,,
Q27613,Q22988604,Q6581097,,,
Q893473,Q22988604,Q6581097,,,Q240840
Q725527,Q22988604,Q6581097,,,
Q103975,Q22988604,Q6581072,,,
Q1362409,Q22988604,Q6581072,,,Q21150330
Q11294144,Q22988604,Q6581097,,,
Q500739,Q22988604,Q6581097,,,
Q643504,Q22988604,Q6581097,,Q3010239,
Q578888,Q22988604,Q6581097,,,
Q1132772,Q22988604,Q2449503,,,
Q2606272,Q22988604,Q6581097,,,Q83203
Q83496,Q22988604,Q44148,,Q213932,Q6667
Q466882,Q22988604,Q43445,,,
Q183417,Q83203,Q6581097,,,
Q1066344,Q22988604,Q6581097,,Q25433606,
Q15711584,Q22988604,Q6581072,,,
Q334456,Q22988604,Q44148,,,
Q13667632,Q22988604,Q6581097,,,
Q1056143,Q22988604,Q6581097,,,
Q64581998,Q22988604,Q6581097,,,
Q103968,Q22988604,Q6581072,Q1066186,,Q398232
Q131157,Q22988604,Q6581072,,,Q6560236
Q3682459,Q22988604,Q6581097,,,
Q2753233,Q22988604,Q6581097,,,
Q725286,Q22988604,Q6581072,,,Q6432541
Q732066,Q22988604,Q6581097,,,Q507107
Q375174,Q22988604,Q6581072,,,
Q1043413,Q22988604,Q6581097,,,
Q3698712,Q22988604,Q6581097,,,
Q190582,Q22988604,Q6581072,,,
Q134756,Q22988604,Q6581097,,,
Q272000,Q22988604,Q6581072,,,Q13537244
Q1183358,Q22988604,Q6581097,,,
Q4157638,Q22988604,Q6581097,,,
Q1475776,Q22988604,Q6581097,,,Q292588
Q207715,Q22988604,Q6581097,,,Q15874488
Q905162,Q22988604,Q6581072,,,
Q208256,Q22988604,Q6581097,,,
Q850192,Q22988604,Q6581072,,,Q5280177
Q3715347,Q22988604,Q6581097,,,
Q193433,Q22988604,Q6581072,,,Q16280070
Q130890,Q22988604,Q6581097,,,
Q241971,Q22988604,Q6581097,,,
Q191725,Q22988604,Q6581097,,,
Q164061,Q22988604,Q6581072,,,Q428212
Q131651,Q22988604,Q6581072,,Q419115,Q217340
Q272047,Q22988604,Q6581097,,,
Q82732,Q22988604,Q6581097,,,Q21547988
Q847890,Q22988604,Q6581097,,,
Q2075786,Q22988604,Q6581072,,,
Q104413,Q22988604,Q6581072,,,Q238304
Q568768,Q22988604,Q6581072,,,
Q644921,Q22988604,Q6581097,,,Q343298
Q19776360,Q22988604,Q6581072,,,
Q16641710,Q22988604,Q6581072,,,
Q410082,Q22988604,Q6581097,,,
Q506550,Q22988604,Q6581097,,,
Q159666,Q22988604,Q6581097,,Q537554,Q342314
Q1352687,Q22988604,Q6581097,,,
Q16647668,Q22988604,Q6581097,,,
Q956831,Q22988604,Q6581072,,,
Q61014736,Q22988604,Q6581097,,,
Q212087,Q22988604,Q6581097,,,
Q1378578,Q83203,Q6581097,,Q124357578,
Q540468,Q83203,Q6581097,,,
Q165170,Q22988604,Q6581072,Q46,Q11921267,Q741380
Q104012,Q22988604,Q6581072,,,
Q837699,Q22988604,Q6581097,,,
Q212818,Q22988604,Q6581072,,,Q5441136
Q1235168,Q22988604,Q6581097,,,
Q203480,Q22988604,Q6581097,,,Q3378668
Q23034982,Q22988604,Q6581097,,,
Q115449,Q22988604,Q6581072,,,Q11698107
Q212827,Q22988604,Q6581097,,,
Q641065,Q22988604,Q6581097,,,Q395356
Q22965548,Q22988604,Q6581097,,Q30097019,
Q743482,Q22988604,Q6581097,,,
Q241070,Q22988604,Q6581072,,Q3757460,Q12094023
Q131588,Q22988604,Q6581097,,,
Q86805,Q22988604,Q6581097,,,
Q176758,Q22988604,Q6581097,,,Q238333
Q1413020,Q22988604,Q6581097,,,Q179785
Q1180888,Q22988604,Q6581097,,,
Q34041,Q22988604,Q6581097,,,Q1658039
Q1136130,Q22988604,Q6581097,,,
Q192673,Q22988604,Q6581072,,Q28362963,Q28912311
Q332752,Q22988604,Q6581097,,,Q1253371
Q847268,Q22988604,Q6581097,,Q41505034,Q2005507
Q223690,Q22988604,Q6581072,,Q1821610,Q11712651
Q744147,Q22988604,Q6581072,,,
Q2468258,Q22988604,Q6581072,,,
Q338201,Q22988604,Q6581097,,,
Q1455747,Q22988604,Q6581097,,Q12755124,
Q2479189,Q22988604,Q6581097,,Q126901044,
Q271891,Q22988604,Q6581097,,,
Q1675360,Q22988604,Q6581097,,,
Q274600,Q22988604,Q44148,,,Q249548
Q200073,Q22988604,Q6581072,,Q59312503,Q59312503
Q12754448,Q22988604,Q6581097,,,
Q10316761,Q22988604,Q6581097,,,
Q182019,Q22988604,Q6581072,,Q1298222,
Q4259170,Q22988604,Q6581097,,,
Q339980,Q22988604,Q6581072,,,
Q922330,Q22988604,Q6581097,,,
Q501667,Q22988604,Q6581097,,,Q1160661
Q1330532,Q22988604,Q6581097,,,Q15262316
Q270117,Q22988604,Q6581097,,,Q225349
Q1124866,Q22988604,Q6581097,,,Q20088821
Q9026462,Q22988604,Q6581097,,Q113549334,
Q599737,Q163709,Q6581097,,,
Q174278,Q22988604,Q6581072,,,
