item,label,subject,final_terms
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100392347,"Antiporta delle 'Inscriptiones' del Tesauro, Torino 1670, la Storia (o la Fama) scolpisce in una lapide il nome di Emanuele Tesauro e il titolo dell'opera ""Inscriptiones"", ispirata da Mercurio che reca in mano il volume [Antiporta delle 'Inscriptiones' di Emanuele Tesauro, Torino 1670] (stampa) di Piola Domenico, Tasnière Georges (terzo quarto sec. XVII)","la Storia (o la Fama) scolpisce in una lapide il nome di Emanuele Tesauro e il titolo dell'opera ""Inscriptiones"", ispirata da Mercurio che reca in mano il volume [Antiporta delle 'Inscriptiones' di Emanuele Tesauro, Torino 1670]","['Fama', 'Mercurio']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500280003,"trionfo di Cesare, Minerva e la Fama (disegno) by Nanin Pietro (metà sec. XIX)","trionfo di Cesare, Minerva e la Fama","['Fama', 'Minerva']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500156804,"Minerva addita a un fanciullo il ritratto sorretto dalla Fama (stampa) di Baratti Antonio, Novelli Pietro Antonio (sec. XVIII)",Minerva addita a un fanciullo il ritratto sorretto dalla Fama,"['Fama', 'Minerva']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100216570-0,"Fatiche di Ercole (stampa, serie) by Aldegrever Heinrich (metà sec. XVI)",Fatiche di Ercole,['Fatiche di Ercole']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900476221,"Febbre (stampa, elemento d'insieme) - ambito veneto (sec. XVII, sec. XVII)",Febbre,['Febbre']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900649808,Febo alla guida del carro del sole (matrice) di Paoletti Bartolomeo (sec. XVIII),Febo alla guida del carro del sole,['Febo']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100209341-15,Febo (decorazione plastica) di Brandani Federico (sec. XVI),Febo,['Febo']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500665579,ritratto a mezzo busto di Febo Mari (manifesto) by Bonfiglioli Gigi (sec. XX),ritratto a mezzo busto di Febo Mari,['Febo']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300201370,"Fedra e Ippolito (?) (vassoio da parata, opera isolata) - bottega veneta (sec. XVII)",Fedra e Ippolito (?),"['Fedra', 'Ippolito']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500569687,"Fedra, Ippolito e la nutrice (disegno) by Marsigli Giuseppe (secondo quarto sec. XIX)","Fedra, Ippolito e la nutrice","['Fedra', 'Ippolito']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500573432,"Fedra, Ippolito e la nutrice (disegno) di La Volpe Nicola (terzo quarto sec. XIX)","Fedra, Ippolito e la nutrice","['Fedra', 'Ippolito']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500569688,"Fedra, Ippolito e la nutrice (disegno) by Marsigli Giuseppe (secondo quarto sec. XIX)","Fedra, Ippolito e la nutrice","['Fedra', 'Ippolito']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900451016,Penelope prega il poeta Femio di non cantare i tristi casi dei Greci (rilievo) by Grazzini Gaetano (sec. XIX),Penelope prega il poeta Femio di non cantare i tristi casi dei Greci,"['Femio', 'Penelope']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800079842,Scena teatrale con caduta di Fetonte e sotto donna e seguito in una corte (stampa) by Kuesel Mathaus (sec. XVII),Scena teatrale con caduta di Fetonte e sotto donna e seguito in una corte,['Fetonte']
https://w3id.org/arco/resource/SARDEGNA/HistoricOrArtisticProperty/2000220538,"La caduta di Fetonte, caduta di Fetonte (stampa) di Delitala Mario// Delitala Mario// Delitala Mario (sec. XX)",caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1700134884,Fetonte guida il carro del Sole (dipinto) by Donadio G (attribuito) (sec. XIX),Fetonte guida il carro del Sole,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300050536A-17,"Fetonte sul carro del sole (decorazione pittorica, elemento d'insieme) - ambito lombardo (sec. XVI)",Fetonte sul carro del sole,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800675943,"Caduta di Fetonte, Caduta di Fetonte (dipinto - tavola di ciclo decorativo, complesso decorativo) di Robusti Jacopo detto Tintoretto (attribuito) - ambito veneziano (secondo quarto XVI)",Caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500250363,"caduta di Fetonte (disegno, elemento d'insieme) di Buonarroti Michelangelo (attribuito) (sec. XVI)",caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300053833,"Fetonte sul carro del sole (dipinto, opera isolata) - ambito lombardo (sec. XVIII)",Fetonte sul carro del sole,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300196520-2,"Caduta di Fetonte, Caduta di Fetonte (decorazione plastica, opera isolata) - ambito intelvese-lombardo (secondo quarto sec. XVIII)",Caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800079917,Gioielleria e gioielli: due medaglioni (caduta di Fetonte e altra scena mitologica) (stampa) di Hornick Erasme (sec. XVII),Gioielleria e gioielli: due medaglioni (caduta di Fetonte e altra scena mitologica),['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900649807,Fetonte cade dal carro del sole (matrice) di Paoletti Bartolomeo (sec. XVIII),Fetonte cade dal carro del sole,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900018584,la caduta di Fetonte (placchetta) di Mondella Galeazzo detto Moderno (fine/inizio secc. XV/ XVI),la caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900376596,"Caduta di Fetonte (soffitto dipinto, complesso decorativo) di Meucci Vincenzo - manifattura toscana (XVIII)",Caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1201033451,le Eliadi piangono per la caduta di Fetonte (dipinto) by Agricola Gioacchino (sec. XVIII),le Eliadi piangono per la caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300619483,Caduta di Fetonte (stampa smarginata) di Beatrizet Nicolas detto Beatricetto (sec. XVI),Caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000196013,"storia di Fetonte e il carro del sole (piatto da pompa, elemento d'insieme) - bottega savonese (seconda metà sec. XVII)",storia di Fetonte e il carro del sole,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800075780,Fetonte che cade nel Po (stampa) by Dal Re Marco (sec. XVII),Fetonte che cade nel Po,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500417527,"Fetonte (placchetta, opera isolata) di Bernardi Giovanni Desiderio (cerchia) (sec. XVI)",Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1201033450,la caduta di Fetonte (dipinto) di Caccianiga Francesco (sec. XVIII),la caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900445611,Fetonte sul carro del Sole (dipinto murale) - ambito toscano (sec. XIX),Fetonte sul carro del Sole,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800084169,morte di Fetonte (disegno preparatorio) di Giani Felice (attribuito) (sec. XIX),morte di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900014268,"caduta di Fetonte (arazzo) by Meucci Vincenzo (attribuito), Bernini Leonardo (attribuito) (prima metà sec. XVIII)",caduta di Fetonte,['Fetonte']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000077902,"Telamone, Caduta di Fetonte (decorazione pittorica, ciclo) di Savini Salvio (attribuito) (ultimo quarto sec. XVI)","Telamone, Caduta di Fetonte","['Fetonte', 'Telamone']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200708761,Filemone e Bauci (dipinto) di Cagli Corrado (sec. XX),Filemone e Bauci,"['Filemone', 'Bauci']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700090284,"Filemone e Bauci (dipinto, opera isolata) di Bacigalupo Giuseppe detto Baccigalupo (ultimo quarto sec. XVIII)",Filemone e Bauci,"['Filemone', 'Bauci']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800676901,"Filottete nell'isola di Lemno (Filottete), Filottete nell'isola di Lemno (Filottete) (dipinto - olio su tela, opera isolata) by Malatesta Adeodato (attribuito) - ambito modenese (secondo quarto XIX)",Filottete nell'isola di Lemno (Filottete),['Filottete']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900597998,"Filottete ferito nell'isola di Lemno (stampa) di Barry James, Rosaspina Francesco (sec. XVIII)",Filottete ferito nell'isola di Lemno,['Filottete']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900383414-3,"Fineo liberato dalla Arpie (stampa smarginata, serie) di Le Pautre Jean (seconda metà sec. XVII)",Fineo liberato dalla Arpie,"['Fineo', 'Arpie']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1700033063,Perseo pietrifica le truppe di Fineo con la testa di Medusa (dipinto) by Giordano Luca (scuola) (fine/inizio secc. XVII/ XVIII),Perseo pietrifica le truppe di Fineo con la testa di Medusa,"['Fineo', 'Medusa', 'Perseo']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300152034,"Perseo pietrifica Fineo (dipinto, opera isolata) by Pasinelli Lorenzo (attribuito) (sec. XVII)",Perseo pietrifica Fineo,"['Fineo', 'Perseo']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100002343,Perseo uccide Fineo (acquamanile) - bottega marchigiana (sec. XVI),Perseo uccide Fineo,"['Fineo', 'Perseo']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200237830-16,Flora (dipinto) - ambito romano (seconda metà sec. XVI),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500339373,"Flora (stampa) di Alberti Cherubino, Caldara Polidoro detto Polidoro da Caravaggio (sec. XVI)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1201008213,Flora (dipinto) by Melzi Francesco (attribuito) (sec. XVI),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500622984,"Flora Farnese; Flora Maggiore, Flora (statua, frammento) - bottega napoletana (secondo quarto sec. XIX)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500224400-2,"Flora (statua, elemento d'insieme) - ambito veneto (sec. XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500280277,Flora (disegno) - ambito veronese (prima metà sec. XIX),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500417816,"Flora (scultura, opera isolata) - ambito Italia centro-settentrionale (sec. XVI)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800111084,"Flora (dipinto, ciclo) - ambito parmense (seconda metà sec. XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500059028,Flora (dipinto) by Maestro di Flora (sec. XVI),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100114211,giardino di Flora (disegno) - ambito italiano (sec. XVIII),giardino di Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500068324,Flora (statua) by Solari Tommaso (sec. XVIII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300184313,"Flora (disegno, opera isolata) by Cosway Richard (fine sec. XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100392160-27,"Flora, figurino di costume teatrale per personaggio femminile nel ruolo di Flora (disegno) di Marini Leonardo (terzo quarto sec. XVIII)",figurino di costume teatrale per personaggio femminile nel ruolo di Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900131696,"Flora (statuetta) - Manifattura Imperiale di porcellane, Vienna (XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800235053,Flora (scultura) by Forti Fermo (fine sec. XIX),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200865639,"Flora Capitolina, Flora (scultura) - manifattura francese (sec. XX)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200865605,"Flora Capitolina, Flora (scultura) di Cavaceppi Bartolomeo (seconda metà sec. XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500051550-1_8,Flora sparge fiori (dipinto) di Pellegrini Girolamo (sec. XVII),Flora sparge fiori,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200251472A-1,Flora (dipinto) by Canini Giovanni Angelo (e aiuti) (sec. XVII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900193987,Flora (scultura) - ambito tirolese (sec. XVII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500060194-9,Flora (statua) - ambito veneto (prima metà sec. XX),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500669312,"la dea Flora, particolare del famoso dipinto la Primavera del Botticelli (manifesto) by Formilli Attilio (sec. XIX)","la dea Flora, particolare del famoso dipinto la Primavera del Botticelli",['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200865338,Flora Capitolina (scultura) by Cavaceppi Bartolomeo (seconda metà sec. XVIII),Flora Capitolina,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200239809-4,"Santa Flora (dipinto) di Tojetti Domenico, Bozzi, Sereni Giuseppe (sec. XIX)",Santa Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500263074,Flora (dipinto) by Hackert Philipp (sec. XVIII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500434953,"Flora del Belvedere, Flora (statua) by Solari Tommaso (seconda metà sec. XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500668504,personificazione di Flora tra altissimi iris e rose in primo piano (manifesto) by Bigliardi E - ambito italiano (sec. XX),personificazione di Flora tra altissimi iris e rose in primo piano,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700034244,"Flora (busto, opera isolata) by Bacigalupo Giovanni Battista (ultimo quarto XIX)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1600043849,Flora (statua) - ambito pugliese (sec. XX),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500013966A-12,testa di Flora (rilievo) - ambito veneto (prima metà sec. XVIII),testa di Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500434956,"Flora del Campidoglio, Flora (statua) di Solari Tommaso (sec. XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500224427-6,"Flora (statua, elemento d'insieme) - ambito veneto (sec. XIX)",Flora,['Flora']
https://w3id.org/arco/resource/Lombardia/HistoricOrArtisticProperty/P0140-00098_R03,Flora (disegno) - ambito classicista veneto (sec. XVIII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900189955,testa di Flora (cammeo) - bottega italiana (sec. XVI),testa di Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100397130,"Flora (dipinto) by Browne, Sophie (fine XIX)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300642060,"Busto femminile (Flora ?) (scultura, opera isolata) - ambito italiano (primo quarto sec. XX)",Busto femminile (Flora ?),['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500420758,Flora (dipinto) by Cestaro Jacopo (terzo quarto sec. XVIII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500238798,Flora (dipinto) - ambito vicentino (sec. XIX),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900014162,Flora (statuetta) by Pietro da Barga (sec. XVI),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800083371,"Flora incorona il busto di Giano (stampa smarginata) by Greuter Johann Friederich, Pietro da Cortona (sec. XVII)",Flora incorona il busto di Giano,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100017336-2_1,"Flora (dipinto, elemento d'insieme) di Gianoli Pier Francesco (attribuito) (seconda metà sec. XVII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800007592,Flora (dipinto) - ambito bolognese (metà sec. XVII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900121172,"Flora, Flora (dipinto) by Vecellio Tiziano (sec. XVI)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800202488,Flora (scultura) - ambito lombardo (prima metà sec. XVIII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900649757,testa di Flora (matrice) di Paoletti Bartolomeo (sec. XVIII),testa di Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300225020-8,"Flora (dipinto murale, elemento d'insieme) by Bianchi Federico (attribuito) (fine sec. XVII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900150608,Flora (stampa) by Benvenuti (sec. XVIII),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100373334,"Flora (scultura, opera isolata) by Collino Ignazio, Collino Filippo (ultimo quarto sec. XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900146864,Allegoria della Flora (decorazione a incisione) by Rossi Giovanni Giacomo (sec. XVII),Flora con amorini,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900648500,Flora (statua) by Duprè Giovanni (sec. XIX),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500224095-2,"Flora (statua, elemento d'insieme) - ambito veneto (sec. XVIII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500445725,"La Flora Farnese, Flora (disegno, opera isolata) - ambito francese (metà sec. XVII)",Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500071691-25,Trionfo di Flora (dipinto) by De Boni Sebastiano (attribuito) (sec. XIX),Trionfo di Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900650942,Flora (dipinto) di Vermehren Otto (seconda metà sec. XIX),Flora,['Flora']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500432146,Flora (statua) - ambito veneto (primo quarto sec. XVIII),Flora,['Flora']
