item,label,subject,matched_term
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000140449,"storie della vita di Sant'Abbondanza (dipinto, ciclo) - ambito umbro-laziale (metà sec. XVI)",storie della vita di Sant'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500280005,"Pace, Abbondanza e Concordia (disegno) by Nanin Pietro (metà sec. XIX)","Pace, Abbondanza e Concordia",['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800310879,"Allegoria della Generosità, Abbondanza (dipinto, opera isolata) di Rubini Pietro - ambito parmense (metà sec. XVIII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900162510,Abbondanza (cammeo) - bottega italiana (prima metà sec. XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100073430,allegoria della Forza e dell'Abbondanza (scultura) by Amantini Tommaso (sec. XVII),allegoria della Forza e dell'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800285568,Abbondanza (gemma) - produzione italiana (secc. XVI/ XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281373-1,"allegoria dell'Abbondanza (decorazione musiva) di Buontalenti Bernardo, Ferrucci Battista di Francesco detto Battista del Tadda (sec. XVI)",allegoria dell'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300201336-14,"Abbondanza (scultura, elemento d'insieme) - bottega bergamasca (sec. XVII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300149920-4_5,"Figura allegorica femminile (Abbondanza ?) (dipinto, elemento d'insieme) di Marone Pietro (fine sec. XVI)",Figura allegorica femminile (Abbondanza ?),['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500094044-3,Abbondanza (statua) by Segala Francesco (sec. XVI),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900016628,Abbondanza (placchetta) - manifattura fiorentina (seconda metà sec. XV),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800259403,Abbondanza (statua) - ambito piacentino (sec. XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500148979,Abbondanza (dipinto) - ambito veneto (secc. XVII/ XVIII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0301934492,"Allegoria dell'Abbondanza (medaglia, opera isolata) - ambito italiano (sec. XX)",Allegoria dell'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000140455,"storie della vita di Sant'Abbondanza (dipinto, ciclo) - ambito umbro-laziale (metà sec. XVI)",storie della vita di Sant'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500179382-11,"Abbondanza (dipinto, elemento d'insieme) - ambito veneto (sec. XVII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900289222,"Abbondanza (statua) by Barbatelli Bernardino detto il Poccetti (e aiuti), Salvini Sebastiano (secc. XVI/ XVII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300619942,"L'allenza tra la Pace e l'Abbondanza, Allegoria della Pace e dell'Abbondanza (stampa) by Coriolano Bartolomeo, Reni Guido (sec. XVII)",Allegoria della Pace e dell'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/Lombardia/HistoricOrArtisticProperty/P0120-00087_R03,Allegoria dell'Abbondanza (disegno) - ambito lombardo (inizio sec. XVIII),Allegoria dell'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900162527,l'Abbondanza con un putto (cammeo) - bottega tedesca (?) (prima metà sec. XVII),l'Abbondanza con un putto,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000063865-2,"episodi della vita di Santa Abbondanza Vergine (dipinto, ciclo) - ambito umbro (fine sec. XVI)",episodi della vita di Santa Abbondanza Vergine,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1201013857,Abbondanza (statua) by Maratta Francesco detto Padovano (prima metà sec. XVIII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900301471,"Abbondanza (stampa) by Dorigny Michele, Tortebat François, Vouet Simon (sec. XVII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000140454,"Madonna in trono con Bambino e Santa Abbondanza (dipinto, complesso decorativo) - ambito umbro-laziale (metà sec. XVI)",Madonna in trono con Bambino e Santa Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500042518,Abbondanza (dipinto) by Lorenzi Francesco (seconda metà sec. XVIII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800310890,"Allegoria della Fortuna o dell'Abbondanza, Abbondanza (dipinto, opera isolata) di Rubini Pietro - ambito parmense (metà sec. XVIII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800310863,"Allegoria dell'Abbondanza, Abbondanza (dipinto, opera isolata) by Spolverini Ilario (fine sec. XVII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800285511,Abbondanza (gemma) - produzione italiana (secc. XVI/ XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1400014618,"Santa Abbondanza (reliquiario - a busto, elemento d'insieme) - bottega napoletana, bottega molisana (secc. XVII/ XVIII)",Santa Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100206545-2,"Abbondanza (decorazione pittorica, elemento d'insieme) by Galliari Giovannino (ultimo quarto sec. XVIII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900745503,Abbondanza (arazzo) - manifattura fiorentina (prima metà sec. XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100139860,Abbondanza (disegno) - ambito senese (sec. XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500053464,Abbondanza (dipinto) di De Ferrari Antonio detto Foler (attribuito) (fine/inizio secc. XVI/ XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000063865-5,"episodi della vita di Santa Abbondanza Vergine (dipinto, ciclo) - ambito umbro (fine sec. XVI)",episodi della vita di Santa Abbondanza Vergine,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300209965,"Abbondanza (statua, opera isolata) - ambito italiano (sec. XVIII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100209342-15,Abbondanza e figure allegoriche (decorazione plastica) by Brandani Federico (e aiuti) (sec. XVI),Abbondanza e figure allegoriche,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300069380,"L'Abbondanza (rilievo, opera isolata) di Bernasconi Tommaso (sec. XX)",L'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200865101,Abbondanza (statuetta) - ambito di Augusta (metà sec. XVI),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100209342-19,Abbondanza (decorazione plastica) di Brandani Federico (e aiuti) (sec. XVI),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500293773,Abbondanza (disegno) by Busato Giovanni (sec. XIX),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500083578,allegoria dell'Abbondanza (dipinto) - ambito veneto (primo quarto sec. XVIII),allegoria dell'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900475961,"Abbondanza (stampa, elemento d'insieme) di Ferroverde Filippo (sec. XVII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500038101-2,allegoria della Forza e dell'Abbondanza (scultura) di Piazzetta Giacomo (secc. XVII/ XIX),allegoria della Forza e dell'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900642471,Abbondanza (decorazione a intaglio) - bottega italiana (sec. XVIII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200865347,Abbondanza (scultura) di Della Valle Filippo (attribuito) (sec. XVIII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900129686,Abbondanza (cammeo) - bottega tedesca (?) (prima metà sec. XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300143285,"Abbondanza (dipinto, elemento d'insieme) di Natali Giovanni Battista (seconda metà sec. XVII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700066752,"Abbondanza (stampa, elemento d'insieme) di Greuter Johann Friedrich (sec. XVII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1600170430-3,Abbondanza (dipinto) by Elmo Serafino (sec. XVIII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100139861,Abbondanza (disegno) - ambito senese (sec. XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800216851-5,"Abbondanza (dipinto, elemento d'insieme) di Gandolfi Tommaso (fine/inizio secc. XVII/ XVIII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100209341-13,Abbondanza (decorazione plastica) by Brandani Federico (sec. XVI),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900642663,Abbondanza (decorazione a intaglio) - bottega francese (sec. XVII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500699558-3,"Abbondanza (bassorilievo, elemento d'insieme) - ambito veneto (inizio XVIII)",Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500279797,Abbondanza (disegno) di Lorenzi Francesco (sec. XVIII),Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100200267-2,"allegoria dell'Abbondanza (candeliere, pendant) - manifattura piemontese (metà sec. XIX)",allegoria dell'Abbondanza,['Abbondanza']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/2000007198,L'Abbondanza sotto il regno di Napoleone (dipinto) - ambito fiorentino (fine sec. XVIII),L'Abbondanza sotto il regno di Napoleone,['Abbondanza']
