item,label,subject,matched_term
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1700168715,Figura di soldato con allegoria della Vittoria (lapide commemorativa ai caduti) by Tamagnini Torquato (attribuito) (prima metà XX sec),Figura di soldato con allegoria della Vittoria,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800002177,"allegoria della Vittoria come donna vestita all'antica, allegoria della morte del soldato, allegoria del sacrificio del soldato per la Patria (monumento ai caduti - a colonna spezzata) by Ciocchetti Giuseppe (primo quarto sec. XX)",allegoria della Vittoria come donna vestita all'antica,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0303269012,"allegoria della Vittoria come aquila (monumento ai caduti - ad obelisco) - ambito bresciano (Sec. XX, Sec. XX, Sec. XXI)",allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800153978,allegoria della Vittoria come aquila (monumento ai caduti) - ambito Italia centro-meridionale (primo quarto XX),allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800154023,"allegoria della Vittoria come aquila (monumento ai caduti) - ambito Italia meridionale (prima metà, seconda metà, primo quarto XX, XX, XXI)",allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100372721,"allegoria della Vittoria, allegoria del soldato come eroe antico (monumento ai caduti - a cippo) by Cellini Gaetano (secondo quarto sec. XX)",allegoria della Vittoria,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1600215393,"allegoria della Vittoria come donna vestita all'antica (monumento ai caduti - a cippo) by Como Francesco Paolo, Bazzani Cesare, Fonderia Laganà, Bruno A, Monticelli Evandro, Matteucci Luigi (XX)",allegoria della Vittoria come donna vestita all'antica,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800154033,allegoria della Vittoria come aquila (monumento ai caduti - a piramide) - ambito Italia meridionale (terzo quarto XX),allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100372729,"allegoria della Vittoria come aquila, allegoria della Patria (monumento ai caduti - ad obelisco) - ambito piemontese (primo quarto, metà sec. XX, sec. XX)",allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1700168722,Figura di soldato con allegoria della Vittoria (lapide commemorativa ai caduti) by Fonderia Laganà (laboratorio) - ambito romano (primo quarto XX sec),Figura di soldato con allegoria della Vittoria,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1400080113-0,"figura del soldato: fante, allegoria della Vittoria come aquila (monumento ai caduti - a cippo, insieme) by Guerrisi Michele (secondo quarto XX)",allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900784782,allegoria della Vittoria che sostiene un soldato morente (monumento ai caduti - a cippo) di Papi Federico (sec. XX),allegoria della Vittoria che sostiene un soldato morente,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0303269027,"allegoria della Vittoria come aquila (monumento ai caduti - ad obelisco, opera isolata) - ambito bresciano (sec. XX, sec. XX)",allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800154107,allegoria della Vittoria come donna vestita all'antica (monumento ai caduti - a cippo) by Ciocchetti Giuseppe (sec. XX),allegoria della Vittoria come donna vestita all'antica,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800154122,allegoria della Vittoria come aquila (monumento ai caduti - a montagna figurata) - ambito Italia meridionale (sec. XX),allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800154123,allegoria della Vittoria come aquila (monumento ai caduti - ad obelisco) - ambito Italia meridionale (sec. XX),allegoria della Vittoria come aquila,['Vittoria']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0303269043,"allegoria della Vittoria (monumento ai caduti - a cippo, opera isolata) by Asti Giovanni (attribuito) (sec. XX, sec. XX)",allegoria della Vittoria,['Vittoria']
