qid,P31,P21,P2925,P22,P25,P460,P1889,P4185,P157,P1074
Q1475386,Q22988604,Q6581097,,Q634361,,,,,,
Q269243,Q22988604,Q6581097,,Q1328260,Q40114098,,,,,
Q47231,Q22988604,Q6581097,,Q748296,Q576170,,,,,
Q104002,Q22988604,Q6581072,,Q34201,Q102884,,Q294784,,,
Q4024302,Q22988604,Q6581097,,Q109220,Q1129489,,,,,
Q182790,Q1387388,Q43445,,Q180237,Q185670,,,,Q189872,
Q12737222,Q273320,Q6581072,,,Q200073,Q1544642,Q682558,,,
Q3612821,Q124940323,Q6581097,,Q3991778,,,,,,
Q2864238,Q124940323,Q6581097,,,,,,,,
Q17521117,Q124940323,Q6581097,,,,,,,,
Q3757599,Q124940323,Q6581097,,,,,,,,
Q12958119,Q124940323,Q6581072,,Q182837,Q183281,Q103107,,,,
Q1924715,Q21070568,Q6581097,,,,,,,,
Q3929892,Q124940323,Q6581097,,,,,,,Q7134950,
Q1242632,Q124710051,Q6581097,,Q112,Q219936,,Q28540088,,Q2186,
Q4016094,Q124940323,Q6581097,,,,,,,Q7134950,
