entity,name,aka,description
http://www.wikidata.org/entity/Q21548611,Anchiroe,,"personaggio della mitologia greca, figlia di Erasino"
http://www.wikidata.org/entity/Q29654988,Anchiroe,,"personaggio della mitologia greca, moglie di Sitone"
http://www.wikidata.org/entity/Q126684991,Anchiroe,,
http://www.wikidata.org/entity/Q126945876,Anchiroe,,
http://www.wikidata.org/entity/Q12873499,Anfiona,,
http://www.wikidata.org/entity/Q2197827,Anfiro,,
http://www.wikidata.org/entity/Q21548518,Anfirroe,,
http://www.wikidata.org/entity/Q180222,Anfitrite,,"ninfa nereide dei mari e delle acque salate, moglie di Poseidone"
http://www.wikidata.org/entity/Q4762641,Angelia,,dea greca dei messaggi
http://www.wikidata.org/entity/Q2849878,Angelo,,"divinità greca, figlio di Zeus ed Era"
http://www.wikidata.org/entity/Q12648474,Anigro,,divinità fluviale greca
http://www.wikidata.org/entity/Q21548669,Anio,,
http://www.wikidata.org/entity/Q10411954,Anippe,,"Naiade della mitologia greca, madre di Busiride"
http://www.wikidata.org/entity/Q571501,Antaura,,
http://www.wikidata.org/entity/Q3312821,Antea,,
http://www.wikidata.org/entity/Q21548693,Antedone,,
http://www.wikidata.org/entity/Q572133,Anteros,,divinità greca dell'amore corrisposto nella mitologia greca
http://www.wikidata.org/entity/Q574828,Antianira,,
http://www.wikidata.org/entity/Q29686726,Antracia,,ninfa della mitologia greca
http://www.wikidata.org/entity/Q21153021,Aora,,
http://www.wikidata.org/entity/Q617977,Apate,,
http://www.wikidata.org/entity/Q2245728,Apeliote,,
http://www.wikidata.org/entity/Q4779552,Apheleia,,
http://www.wikidata.org/entity/Q8202607,Apidano,,
http://www.wikidata.org/entity/Q37340,Apollo,"Dio Apollo, Carro solare di Apollo, Apollo Pizio, Apollo Parnopios, Apollo Citaredo","dio greco e romano della profezia, della guarigione, della medicina, della musica e del tiro con l'arco"
http://www.wikidata.org/entity/Q4780401,Apollonide,,
http://www.wikidata.org/entity/Q4069374,Arce,,
http://www.wikidata.org/entity/Q8203830,Ardesco,,divinità fluviale greca
http://www.wikidata.org/entity/Q40901,Ares,,"dio greco della guerra, figlio di Zeus e di Era"
http://www.wikidata.org/entity/Q32360668,Arete,,
