qid,P31,P21,P2925,P460,P1889
Q182439,Q22988604 (mythological Greek character),Q6581097 (male),,,Q2035691 (Pelleas)
Q192485,Q22988604 (mythological Greek character),Q6581097 (male),,,Q2068297 (Pelops)
Q165769,Q22988604 (mythological Greek character),Q6581072 (female),,,Q11815521 (Penelopa)
Q391091,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q379828,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q63246636,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q1349003,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q192343,Q22988604 (mythological Greek character),Q6581097 (male),,,Q224984 (Pygmalion)
Q494886,Q22988604 (mythological Greek character),Q6581097 (male),,Q24731870 (Pylade),
Q13409873,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q3411429,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q622809,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q346634,Q22988604 (mythological Greek character),Q6581097 (male),,Q29626641 (Polydorus),
Q193567,Q128430 (cyclops),Q6581097 (male),,,Q1173735 (Polyphemus)
Q104425,Q22988604 (mythological Greek character),Q6581072 (female),Q484692 (hymn),,
Q334817,Q22988604 (mythological Greek character),Q6581097 (male),,,Q2101336 (Polinik)
Q750236,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q12046224,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q170473,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q206878,Q22988604 (mythological Greek character),Q6581097 (male),,Q9642688 (Baal-Peor),Q38433591 (Phales)
Q1231743,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q1139470,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q15138255,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q871361,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q2262042,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q776139,Q22988604 (mythological Greek character),Q6581072 (female),,Q1770908 (Stimula),Q403824 (Semele)
Q762835,Q273320 (sibyl),Q6581072 (female),,Q1183352 (Deiphobe),
Q1121944,Q273320 (sibyl),Q6581072 (female),,Q1544642 (Herophile),
Q2217186,Q273320 (sibyl),Q6581072 (female),,,
Q464091,Q163709 (satyr),Q6581097 (male),,,Q588632 (Silenoz)
Q663792,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q368423,Q22988604 (mythological Greek character),Q6581072 (female),,Q3629895 (Ausia),
Q1246563,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q1367860,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q182101,Q22988604 (mythological Greek character),Q6581097 (male),,,Q515531 (Tantalus)
Q331327,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q916442,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q192482,Q22988604 (mythological Greek character),Q6581097 (male),,,Q125567497 (Telemach)
Q1138506,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q104042,Q22988604 (mythological Greek character),Q6581072 (female),,,Q443833 (Terpsichore)
Q1320718,Q22988604 (mythological Greek character),Q6581097 (male),,,Q410475 (Theseus)
Q184437,Q22988604 (mythological Greek character),Q6581072 (female),,,Q26761044 (Thetis)
Q1400413,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q3991817,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q737306,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q656887,Q22988604 (mythological Greek character),Q6581097 (male),,,Q1933958 (Tityus)
Q1475386,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q269243,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q47231,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q104002,Q22988604 (mythological Greek character),Q6581072 (female),,,Q294784 (Urania)
Q4024302,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q182790,Q1387388 (mythical hybrid),Q43445 (female organism),,,
Q12737222,Q273320 (sibyl),Q6581072 (female),,Q1544642 (Herophile),Q682558 (Delphic Oracle)
Q3612821,Q124940323 (mythological Roman character),Q6581097 (male),,,
Q2864238,Q124940323 (mythological Roman character),Q6581097 (male),,,
Q17521117,Q124940323 (mythological Roman character),Q6581097 (male),,,
Q3757599,Q124940323 (mythological Roman character),Q6581097 (male),,,
Q12958119,Q124940323 (mythological Roman character),Q6581072 (female),,Q103107 (Leto),
Q1924715,Q21070568 (human whose existence is disputed),Q6581097 (male),,,
Q3929892,Q124940323 (mythological Roman character),Q6581097 (male),,,
Q1242632,Q124710051 (legendary human figure),Q6581097 (male),,,Q28540088 (Uncle Remus)
Q4016094,Q124940323 (mythological Roman character),Q6581097 (male),,,
Q184353,Q28061975 (group of Greek mythical characters),,,Q12900114 (Gratiae),Q708676 (charitable organization)
Q1361380,Q111252729 (group of deities),,,Q2593296 (amorino),
Q101609,Q20830276 (group of mythical characters),,,,
Q201411,Q28061975 (group of Greek mythical characters),,,,Q1402198 (Hersilia)
Q1821610,Q1916821 (water deity),Q6581072 (female),,Q223690 (Ino),
Q179844,Q150986 (siren),Q6581072 (female),,,Q954048 (Partenope)
Q1233460,Q63143903 (episode in Greek mythology),,,,Q28022743
Q1048568,Q1406161 (artistic theme),,,,
Q16943283,Q1406161 (artistic theme),,,,
Q13081186,Q24336031 (mythical river),,,,Q12626619 (Acheron)
Q1521549,Q154365 (underworld),,,,
Q168786,Q3238337 (mythical location),,,,
Q165510,Q28061975 (group of Greek mythical characters),,,,Q15727168
Q842435,Q24296329 (mythological horse),Q44148 (male organism),,,
Q157128,Q154365 (underworld),,,Q19848944 (Elysium),
Q3503382,Q2239243 (mythical creature),,,,
Q654379,Q32012717 (mythological pig),Q44148 (male organism),,,
Q128693,Q2472587 (people),,,,
Q21636696,Q24296329 (mythological horse),,,,Q24297010 (Lampus)
Q28136294,Q30307315 (mythological canine),Q6581072 (female),,,
Q162797,Q2537829 (winged horse),Q44148 (male organism),,,Q2620807 (Tulpar)
Q1747200,Q2590445 (fictional ethnic group),,,,
Q21560612,Q24296329 (mythological horse),Q44148 (male organism),,,
Q816795,Q2239243 (mythical creature),,,,Q74363 (Hippocampus)
Q150986,Q33294038 (class of mythical entities),,,,Q795701 (Siren)
Q128430,Q24533670 (mythical humanoid race),,,,Q534863 (Cyclops)
Q170379,Q16326794 (mythological serpent),Q43445 (female organism),,,
Q66016,Q28061975 (group of Greek mythical characters),Q6581072 (female),,,Q1378626 (Muza)
Q163709,Q24533670 (mythical humanoid race),Q6581097 (male),,Q223194 (faun),Q30167902 (faun or satyr in a work of fiction)
