qid,P31,P21,P2925,P460,P1889
Q194012,Q22989102 (Greek deity),Q6581097 (male),Q36348 (dream),,Q174353 (Orpheus)
Q624551,Q3346693 (Greek nymph),Q6581072 (female),,Q3874213 (Nephele),Q10476719 (Nephele)
Q185747,Q182406 (Oceanids),Q6581072 (female),Q186361 (punishment),Q742680 (Astraea),Q18338203 (Nemezis)
Q189527,Q3059255 (Greek water deities),Q6581097 (male),,Q1398720 (Old Man of the Sea),
Q165023,Q205985 (goddess),Q6581072 (female),Q50000 (victory),Q308902 (Victoria),Q218202 (Nike)
Q685243,Q3027575 (Potamoi),Q6581097 (male),Q3392 (Nile),,
Q131203,Q878099 (Greek primordial deity),Q6581072 (female),Q575 (night),Q1651665 (Nox),Q344536 (Nyx)
Q161419,Q45713 (titan),Q6581097 (male),Q107549003 (Oceanus),,
Q201261,Q22989102 (Greek deity),Q6581097 (male),,,Q312422 (Arion)
Q1129489,Q3059255 (Greek water deities),Q6581072 (female),,,
Q3357697,Q191192 (Giants),Q6581097 (male),,,
Q3361501,Q22989102 (Greek deity),Q6581072 (female),,Q37122 (Athena),
Q132582,Q22989102 (Greek deity),Q6581097 (male),,Q3089703 (Faunus),Q107190 (Peter Pan)
Q1364612,Q3027575 (Potamoi),Q6581097 (male),Q376328 (Pineios),,
Q17996472,Q3346693 (Greek nymph),Q6581072 (female),,,
Q45967,Q22989102 (Greek deity),Q6581072 (female),,Q14515330 (Proserpina),
Q130832,Q23015925 (demigod of Greek mythology),Q6581097 (male),,Q3476559,Q6502471 (Perseus)
Q41127,Q1916821 (water deity),Q6581097 (male),Q165 (sea),Q3954 (Neptune),Q227431 (Poseidon)
Q83160,Q45713 (titan),Q6581097 (male),,,Q2112787 (Prometheus)
Q843382,Q22989102 (Greek deity),Q6581072 (female),,,
Q108419,Q45713 (titan),Q6581072 (female),,Q188236 (Cybele),Q20000206 (Rhea)
Q1061782,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q193115,Q3059255 (Greek water deities),Q43445 (female organism),,,Q255329 (Scylla)
Q131585,Q22989102 (Greek deity),Q6581072 (female),Q405 (Moon),Q1235172 (Luna),Q671979 (Selene)
Q214554,Q146083 (Ancient Egyptian deity),Q6581097 (male),,,
Q846129,Q619300 (Hamadryad),Q6581072 (female),,,Q10902606 (syrinx)
Q1241338,Q3346693 (Greek nymph),Q6581072 (female),,,
Q3822612,Q878099 (Greek primordial deity),Q6581072 (female),,,
Q180237,Q191192 (Giants),Q6581097 (male),,Q190511 (Apophis),Q1784578 (train horn)
Q10696861,Q3346693 (Greek nymph),Q6581072 (female),,,
Q18415479,Q45713 (titan),Q6581097 (male),,,
Q148030,Q3059255 (Greek water deities),Q6581097 (male),,,
Q79999,Q878099 (Greek primordial deity),Q6581097 (male),Q527 (sky),Q3360794 (Caelus),
Q483760,Q1406161 (artistic theme),,,Q19760026 (birth of Aphrodite),Q4750780 (Anadyomene)
Q59697,Q22989102 (Greek deity),Q6581097 (male),,Q4110210,
Q467515,Q476682 (Anemoi),Q6581097 (male),,,Q8068495 (Zefir)
Q34201,Q842697 (thunder deity),Q6581097 (male),Q33741 (lightning),Q4649 (Jupiter),Q354151 (Zeus)
Q336003,Q11688446 (Roman deity),Q6581072 (female),Q336019 (abundance),,
Q381061,Q11688446 (Roman deity),Q6581072 (female),,,
Q581656,Q11688446 (Roman deity),Q6581072 (female),,Q3314298 (Euthenia),
Q178831,Q11688446 (Roman deity),Q6581072 (female),Q11326182 (dawn),Q178417 (Eos),Q1066178
Q645312,Q11688446 (Roman deity),Q6581097 (male),Q213376 (winemaking),Q41680 (Dionysus),Q683204 (Bacchus)
Q207234,Q11688446 (Roman deity),Q6581072 (female),,Q747657 (Enyo),
Q32102,Q11688446 (Roman deity),Q6581072 (female),Q11451 (agriculture),Q40730 (Demeter),Q1055257 (Ceres)
Q746321,Q11688446 (Roman deity),Q6581072 (female),Q16513416 (faithfulness),Q978079 (Harmonia),
Q5011,Q11688446 (Roman deity),Q6581097 (male),,Q121973 (Eros),Q439540 (Cupid)
Q132543,Q11688446 (Roman deity),Q6581072 (female),,Q39503 (Artemis),
Q582268,Q13002315 (legendary figure),Q6581072 (female),,,Q164297 (Egeria)
Q240679,Q11688446 (Roman deity),Q6581097 (male),,Q122248 (Heracles),Q4748709 (Herkules)
Q3920788,Q11688446 (Roman deity),Q6581097 (male),,Q83223 (Asclepius),
Q2527609,Q11688446 (Roman deity),Q6581072 (female),Q38933 (fever),,Q33533292
Q209644,Q11688446 (Roman deity),Q6581072 (female),,Q1075258 (Chloris),
Q4654,Q11688446 (Roman deity),Q6581072 (female),,Q213440 (Tyche),Q219201 (Fortuna)
Q4649,Q11688446 (Roman deity),Q6581097 (male),,Q34201 (Zeus),Q16280772 (Jowisz)
Q125046,Q11688446 (Roman deity),Q6581072 (female),Q8445 (marriage),Q38012 (Hera),
Q1102307,Q207174 (personification),Q6581072 (female),Q5167661 (justice),Q159168 (Themis),Q75133781 (Justice)
Q1367680,Q11688446 (Roman deity),Q6581072 (female),,Q131125 (Hebe),Q1422 (Juventus FC)
Q112,Q11688446 (Roman deity),Q6581097 (male),Q198 (war),Q40901 (Ares),Q426315 (Mars)
Q1479084,Q11688446 (Roman deity),Q6581072 (female),,Q178831 (Aurora),
Q1150,Q11688446 (Roman deity),Q6581097 (male),Q2727213 (theft),Q41484 (Hermes),Q11777485 (Merkury)
Q126916,Q205985 (goddess),Q6581072 (female),Q1294787 (artisan),Q37122 (Athena),
Q3954,Q1916821 (water deity),Q6581097 (male),,Q41127 (Poseidon),Q1261928 (Neptun)
Q859392,Q205985 (goddess),Q6581072 (female),Q2488752 (earth),Q108419 (Rhea),Q221197
Q152262,Q11688446 (Roman deity),Q6581097 (male),,Q41410 (Hades),Q2099776 (Pluto)
Q171239,Q38618822 (nymph in Roman mythology),Q6581072 (female),,,
Q14515330,Q11688446 (Roman deity),Q6581072 (female),,Q45967 (Persephone),Q33056084
Q953033,Q11688446 (Roman deity),Q6581072 (female),Q18287233 (Roma),,
Q1753275,Q119840097 (Sabine deity),Q6581097 (male),,Q5283763 (Dius Fidius),
Q134388,Q7805266 (time and fate deity),Q6581097 (male),,Q272918 (Chronos),Q3950829 (Saturn)
Q2062262,Q273320 (sibyl),Q6581072 (female),,,
Q548445,Q11688446 (Roman deity),Q6581097 (male),,,Q187489 (Silvanus)
Q580723,Q11688446 (Roman deity),Q6581097 (male),,,
Q47652,Q11688446 (Roman deity),Q6581072 (female),Q316 (love),Q35500 (Aphrodite),
Q3545810,Q207174 (personification),Q6581072 (female),,Q1317994 (Aletheia),Q12644570 (Veritas (magazine))
Q374311,Q11688446 (Roman deity),Q6581097 (male),,,
Q178710,Q11688446 (Roman deity),Q6581072 (female),Q182995 (kitchen stove),Q41419 (Hestia),Q3030 (Vesta)
Q308902,Q11688446 (Roman deity),Q6581072 (female),Q50000 (victory),Q165023 (Nike),Q537094 (Victoria)
Q4640,Q11688446 (Roman deity),Q6581097 (male),,Q44384 (Hephaestus),Q1088708 (Vulcan)
Q555521,Q22988604 (mythological Greek character),Q6581097 (male),,,Q123314 (agate)
Q41746,Q22988604 (mythological Greek character),Q6581097 (male),,Q114839495,Q229835 (Achilles)
Q419156,Q22988604 (mythological Greek character),Q6581097 (male),Q1382342 (Jaci),,
Q128176,Q22988604 (mythological Greek character),Q6581097 (male),,,Q231724 (Agamemnon)
Q584492,Q22988604 (mythological Greek character),Q6581072 (female),,,Q243653 (Aglauros)
Q172725,Q22988604 (mythological Greek character),Q6581097 (male),,,Q242319 (Ajax the Lesser)
Q320449,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q912904,Q22988604 (mythological Greek character),Q6581072 (female),,,Q12784350 (Alkione)
Q1643451,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q482096,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q3614346,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q474474,Q163709 (satyr),Q6581097 (male),,,
Q488558,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q488621,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q211953,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q19376,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q161582,Q22988604 (mythological Greek character),Q6581072 (female),,,Q102897 (Andromeda)
Q242835,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q131351,Q22988604 (mythological Greek character),Q6581072 (female),,,Q20978302
Q4067040,Q22988604 (mythological Greek character),Q6581072 (female),,,Q12748406 (Antinoe)
Q579000,Q22988604 (mythological Greek character),Q6581097 (male),,,Q171876 (Antinous)
Q461439,Q22988604 (mythological Greek character),Q6581072 (female),,,Q255393 (Antiope)
Q333658,Q22988604 (mythological Greek character),Q6581097 (male),,Q128903579 (Aegialeus),
Q190082,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q2866192,Q22988604 (mythological Greek character),Q6581072 (female),,Q643456 (Arethusa),
Q189821,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q184874,Q22988604 (mythological Greek character),Q6581072 (female),,,Q654349 (Ariadna)
Q311536,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q181360,Q28061975 (group of Greek mythical characters),Q6581072 (female),,,Q30301514 (harpy in a work of fiction)
Q2655419,Q22988604 (mythological Greek character),Q6581097 (male),,Q136512504 (Abas),
